schema_version,campaign_id,protocol_id,protocol_version,apparatus_id,safety_manifest_id,run_id,analysis_group_id,run_role,control_type,planned_replicate,randomized_order,status,admission_status,evidence_status,material_set,ps_batch_id,salt_batch_id,steel_batch_id,ps_input_g,salt_input_g,steel_input_g,particle_size_spec_id,mixture_ratio_spec,target_speed_level,target_speed_rpm,observed_speed_mean_rpm,observed_speed_sd_rpm,target_airflow_level,target_airflow_m3_s,observed_airflow_mean_m3_s,observed_airflow_sd_m3_s,target_feed_rate_g_s,observed_feed_rate_g_s,target_residence_s,observed_residence_s,relative_humidity_pct,outlet_assignment_version,outlet_assignment_frozen,ps_purity,salt_purity,steel_purity,ps_recovery,salt_recovery,steel_recovery,macro_recovery,mass_closure,throughput_g_s,operational_throughput_g_s,energy_Wh,specific_energy_Wh_kg,assay_mass_uncertainty_g,energy_uncertainty_Wh,containment_intact,safety_stop_triggered,anomaly_count,mass_closure_min,mass_closure_max,purity_min_each,recovery_min_each,max_recovery_sd_pp,baseline_comparator,min_active_gain_pp,decision_ready,decision,falsification_reason,physical_record_uri,epistemic_record_uri,notes
1,exp001-controls,centerfuge-fast-solids-001,0.1.0,,,CTRL-PS,CTRL-PS,commissioning_control,single_material,1,,planned,pending,M,ps,,,,,,,,single_material,,,,,,,,,,,,,,,pending,false,,,,,,,,,,,,,,,,,0.98,1.02,,,,none,,false,not_evaluated,,,,polystyrene trajectory baseline
1,exp001-controls,centerfuge-fast-solids-001,0.1.0,,,CTRL-SALT,CTRL-SALT,commissioning_control,single_material,1,,planned,pending,M,salt,,,,,,,,single_material,,,,,,,,,,,,,,,pending,false,,,,,,,,,,,,,,,,,0.98,1.02,,,,none,,false,not_evaluated,,,,salt trajectory and fragmentation baseline
1,exp001-controls,centerfuge-fast-solids-001,0.1.0,,,CTRL-STEEL,CTRL-STEEL,commissioning_control,single_material,1,,planned,pending,M,steel,,,,,,,,single_material,,,,,,,,,,,,,,,pending,false,,,,,,,,,,,,,,,,,0.98,1.02,,,,none,,false,not_evaluated,,,,steel trajectory baseline
1,exp001-baselines,centerfuge-fast-solids-001,0.1.0,,,BASE-AIR,BASE-AIR,baseline,airflow_only,1,,planned,pending,M,ps+salt+steel,,,,,,,,equal_mass,off,0,,,candidate,,, ,,,,,,,pending,false,,,,,,,,,,,,,,,,,0.98,1.02,,,,none,,false,not_evaluated,,,,active airflow baseline
1,exp001-baselines,centerfuge-fast-solids-001,0.1.0,,,BASE-ROT,BASE-ROT,baseline,rotation_only,1,,planned,pending,M,ps+salt+steel,,,,,,,,equal_mass,candidate,,, ,off,0,,, ,,,,,,pending,false,,,,,,,,,,,,,,,,,0.98,1.02,,,,none,,false,not_evaluated,,,,minimum ventilation may replace zero airflow if required by safety manifest
1,exp001-baselines,centerfuge-fast-solids-001,0.1.0,,,BASE-GRAV,BASE-GRAV,baseline,gravity,1,,planned,pending,M,ps+salt+steel,,,,,,,,equal_mass,off,0,,,off,0,,,,,,,,,pending,false,,,,,,,,,,,,,,,,,0.98,1.02,,,,none,,false,not_evaluated,,,,same collection interval without active swirl or classification airflow
1,exp001-baselines,centerfuge-fast-solids-001,0.1.0,,,BASE-SCREEN,BASE-SCREEN,baseline,screen,1,,planned,pending,M,ps+salt+steel,,,,,,,,equal_mass,not_applicable,,,,not_applicable,,,,,,,,,,pending,false,,,,,,,,,,,,,,,,,0.98,1.02,,,,none,,false,not_evaluated,,,,available sieve baseline
1,exp001-baselines,centerfuge-fast-solids-001,0.1.0,,,BASE-MAG,BASE-MAG,baseline,magnetic,1,,planned,pending,M,ps+salt+steel,,,,,,,,equal_mass,not_applicable,,,,not_applicable,,,,,,,,,,pending,false,,,,,,,,,,,,,,,,,0.98,1.02,,,,none,,false,not_evaluated,,,,steel extraction baseline
1,exp001-baselines,centerfuge-fast-solids-001,0.1.0,,,BASE-CYCLONE,BASE-CYCLONE,baseline,cyclone,1,,planned,pending,M,ps+salt+steel,,,,,,,,equal_mass,not_applicable,,,,not_applicable,,,,,,,,,,pending,false,,,,,,,,,,,,,,,,,0.98,1.02,,,,none,,false,not_evaluated,,,,conventional inertial cyclone baseline at documented inlet velocity and geometry
1,exp001-baselines,centerfuge-fast-solids-001,0.1.0,,,BASE-MANUAL,BASE-MANUAL,baseline,manual_sorting,1,,planned,pending,M,ps+salt+steel,,,,,,,,equal_mass,not_applicable,,,,not_applicable,,,,,,,,,,pending,false,,,,,,,,,,,,,,,,,0.98,1.02,,,,none,,false,not_evaluated,,,,timed unaided manual sort of the same weighed replicate
